Vg (V),Id (A),G (S),cycle,idx_in_cycle
-0.8,-0.000134331,0.00016791375000000002,0,0
-0.78,-0.00013267,0.00017008974358974358,0,1
-0.76,-0.000131684,0.00017326842105263156,0,2
-0.74,-0.000130938,0.00017694324324324327,0,3
-0.72,-0.000130337,0.00018102361111111114,0,4
-0.7,-0.000129786,0.00018540857142857145,0,5
-0.6799999999999999,-0.000129275,0.0001901102941176471,0,6
-0.6599999999999999,-0.0001288,0.00019515151515151516,0,7
-0.6399999999999999,-0.000128376,0.00020058750000000004,0,8
-0.6199999999999999,-0.000127916,0.0002063161290322581,0,9
-0.5999999999999999,-0.000127476,0.00021246000000000006,0,10
-0.5799999999999998,-0.000127062,0.0002190724137931035,0,11
-0.5599999999999998,-0.00012664,0.0002261428571428572,0,12
-0.5399999999999998,-0.000126204,0.00023371111111111122,0,13
-0.5199999999999998,-0.00012578,0.0002418846153846155,0,14
-0.4999999999999998,-0.000125324,0.0002506480000000001,0,15
-0.47999999999999976,-0.000124863,0.0002601312500000001,0,16
-0.45999999999999974,-0.000124403,0.00027044130434782625,0,17
-0.4399999999999997,-0.000123924,0.00028164545454545473,0,18
-0.4199999999999997,-0.000123386,0.00029377619047619063,0,19
-0.3999999999999997,-0.000122851,0.0003071275000000002,0,20
-0.37999999999999967,-0.000122284,0.0003218000000000003,0,21
-0.35999999999999965,-0.000121706,0.0003380722222222226,0,22
-0.33999999999999964,-0.000121106,0.0003561941176470592,0,23
-0.3199999999999996,-0.000120508,0.00037658750000000045,0,24
-0.2999999999999996,-0.00011984,0.0003994666666666672,0,25
-0.2799999999999996,-0.000119123,0.0004254392857142864,0,26
-0.25999999999999956,-0.000118396,0.00045536923076923153,0,27
-0.23999999999999955,-0.000117627,0.0004901125000000009,0,28
-0.21999999999999953,-0.000116846,0.0005311181818181829,0,29
-0.1999999999999995,-0.000115988,0.0005799400000000014,0,30
-0.1799999999999995,-0.000115069,0.0006392722222222241,0,31
-0.15999999999999948,-0.000114123,0.0007132687500000024,0,32
-0.13999999999999946,-0.00011312,0.0008080000000000032,0,33
-0.11999999999999944,-0.000112058,0.000933816666666671,0,34
-0.09999999999999942,-0.000110962,0.0011096200000000065,0,35
-0.0799999999999994,-0.000109793,0.00137241250000001,0,36
-0.05999999999999939,-0.000108588,0.0018098000000000185,0,37
-0.03999999999999937,-0.000107279,0.002681975000000042,0,38
-0.01999999999999935,-0.000105892,0.005294600000000172,0,39
6.661338147750939e-16,-0.000104403,0.0,0,40
0.020000000000000684,-0.000102852,-0.005142599999999824,0,41
0.0400000000000007,-0.000101202,-0.0025300499999999556,0,42
0.06000000000000072,-9.94426e-05,-0.001657376666666647,0,43
0.08000000000000074,-9.75719e-05,-0.0012196487499999888,0,44
0.10000000000000075,-9.55877e-05,-0.0009558769999999928,0,45
0.12000000000000077,-9.34996e-05,-0.0007791633333333283,0,46
0.1400000000000008,-9.13e-05,-0.0006521428571428534,0,47
0.1600000000000008,-8.89442e-05,-0.0005559012499999972,0,48
0.18000000000000083,-8.64939e-05,-0.00048052166666666445,0,49
0.20000000000000084,-8.39345e-05,-0.0004196724999999982,0,50
0.22000000000000086,-8.12289e-05,-0.00036922227272727126,0,51
0.24000000000000088,-7.84148e-05,-0.00032672833333333216,0,52
0.2600000000000009,-7.55005e-05,-0.00029038653846153746,0,53
0.2800000000000009,-7.24705e-05,-0.00025882321428571345,0,54
0.30000000000000093,-6.93606e-05,-0.00023120199999999928,0,55
0.32000000000000095,-6.61688e-05,-0.00020677749999999936,0,56
0.34000000000000097,-6.29047e-05,-0.00018501382352941124,0,57
0.360000000000001,-5.95986e-05,-0.0001655516666666662,0,58
0.380000000000001,-5.62594e-05,-0.00014805105263157855,0,59
0.400000000000001,-5.29312e-05,-0.00013232799999999967,0,60
0.42000000000000104,-4.9606e-05,-0.00011810952380952351,0,61
0.44000000000000106,-4.6329e-05,-0.00010529318181818157,0,62
0.4600000000000011,-4.30995e-05,-9.36945652173911e-05,0,63
0.4800000000000011,-3.99425e-05,-8.321354166666648e-05,0,64
0.5000000000000011,-3.68896e-05,-7.377919999999984e-05,0,65
0.5200000000000011,-3.394e-05,-6.526923076923062e-05,0,66
0.5400000000000011,-3.11219e-05,-5.763314814814802e-05,0,67
0.5600000000000012,-2.84445e-05,-5.079374999999989e-05,0,68
0.5800000000000012,-2.59179e-05,-4.468603448275853e-05,0,69
0.6000000000000012,-2.35494e-05,-3.924899999999992e-05,0,70
0.6200000000000012,-2.13489e-05,-3.443370967741929e-05,0,71
0.6400000000000012,-1.93215e-05,-3.0189843749999944e-05,0,72
0.6600000000000013,-1.74632e-05,-2.6459393939393888e-05,0,73
0.6800000000000013,-1.57738e-05,-2.3196764705882312e-05,0,74
0.7000000000000013,-1.42471e-05,-2.0352999999999963e-05,0,75
0.7200000000000013,-1.28682e-05,-1.7872499999999968e-05,0,76
0.7400000000000013,-1.16276e-05,-1.5712972972972947e-05,0,77
0.7600000000000013,-1.05139e-05,-1.3834078947368396e-05,0,78
0.7800000000000014,-9.53716e-06,-1.2227128205128183e-05,0,79
0.8000000000000014,-8.61308e-06,-1.076634999999998e-05,0,80
0.7800000000000014,-1.03542e-05,-1.3274615384615362e-05,0,81
0.7600000000000013,-1.21732e-05,-1.6017368421052603e-05,0,82
0.7400000000000013,-1.40847e-05,-1.903337837837834e-05,0,83
0.7200000000000013,-1.60909e-05,-2.2348472222222178e-05,0,84
0.7000000000000013,-1.81966e-05,-2.599514285714281e-05,0,85
0.6800000000000013,-2.04074e-05,-3.001088235294112e-05,0,86
0.6600000000000013,-2.27285e-05,-3.4437121212121147e-05,0,87
0.6400000000000012,-2.51601e-05,-3.9312656249999925e-05,0,88
0.6200000000000012,-2.77007e-05,-4.467854838709669e-05,0,89
0.6000000000000012,-3.03538e-05,-5.0589666666666566e-05,0,90
0.5800000000000012,-3.31098e-05,-5.70858620689654e-05,0,91
0.5600000000000012,-3.5962e-05,-6.4217857142857e-05,0,92
0.5400000000000011,-3.89057e-05,-7.204759259259244e-05,0,93
0.5200000000000011,-4.19218e-05,-8.061884615384598e-05,0,94
0.5000000000000011,-4.50016e-05,-9.00031999999998e-05,0,95
0.4800000000000011,-4.81269e-05,-0.00010026437499999978,0,96
0.4600000000000011,-5.12797e-05,-0.00011147760869565192,0,97
0.44000000000000106,-5.4453e-05,-0.00012375681818181788,0,98
0.42000000000000104,-5.7617e-05,-0.000137183333333333,0,99
0.400000000000001,-6.07606e-05,-0.00015190149999999962,0,100
0.380000000000001,-6.38705e-05,-0.0001680802631578943,0,101
0.360000000000001,-6.69348e-05,-0.0001859299999999995,0,102
0.34000000000000097,-6.99239e-05,-0.0002056585294117641,0,103
0.32000000000000095,-7.28588e-05,-0.00022768374999999932,0,104
0.30000000000000093,-7.57003e-05,-0.00025233433333333256,0,105
0.2800000000000009,-7.84488e-05,-0.00028017428571428476,0,106
0.2600000000000009,-8.10817e-05,-0.0003118526923076912,0,107
0.24000000000000088,-8.36412e-05,-0.0003485049999999987,0,108
0.22000000000000086,-8.61016e-05,-0.0003913709090909075,0,109
0.20000000000000084,-8.84712e-05,-0.00044235599999999813,0,110
0.18000000000000083,-9.06796e-05,-0.0005037755555555533,0,111
0.1600000000000008,-9.28227e-05,-0.000580141874999997,0,112
0.1400000000000008,-9.48647e-05,-0.0006776049999999962,0,113
0.12000000000000077,-9.67991e-05,-0.0008066591666666614,0,114
0.10000000000000075,-9.8624e-05,-0.0009862399999999926,0,115
0.08000000000000074,-0.000100366,-0.0012545749999999885,0,116
0.06000000000000072,-0.000101989,-0.0016998166666666464,0,117
0.0400000000000007,-0.000103538,-0.0025884499999999544,0,118
0.020000000000000684,-0.000105032,-0.005251599999999821,0,119
6.661338147750939e-16,-0.000106412,0.0,0,120
-0.01999999999999935,-0.000107774,0.005388700000000175,0,121
-0.03999999999999937,-0.00010903,0.0027257500000000432,0,122
-0.05999999999999939,-0.000110233,0.0018372166666666854,0,123
-0.0799999999999994,-0.000111354,0.0013919250000000104,0,124
-0.09999999999999942,-0.000112475,0.0011247500000000064,0,125
-0.11999999999999944,-0.000113502,0.0009458500000000044,0,126
-0.13999999999999946,-0.000114459,0.0008175642857142888,0,127
-0.15999999999999948,-0.000115399,0.0007212437500000023,0,128
-0.1799999999999995,-0.000116282,0.0006460111111111129,0,129
-0.1999999999999995,-0.000117145,0.0005857250000000015,0,130
-0.21999999999999953,-0.000117938,0.0005360818181818193,0,131
-0.23999999999999955,-0.000118696,0.0004945666666666676,0,132
-0.25999999999999956,-0.00011942,0.0004593076923076931,0,133
-0.2799999999999996,-0.000120113,0.0004289750000000006,0,134
-0.2999999999999996,-0.000120775,0.00040258333333333384,0,135
-0.3199999999999996,-0.000121386,0.00037933125000000047,0,136
-0.33999999999999964,-0.00012194,0.0003586470588235298,0,137
-0.35999999999999965,-0.000122464,0.0003401777777777781,0,138
-0.37999999999999967,-0.000122974,0.00032361578947368453,0,139
-0.3999999999999997,-0.000123481,0.0003087025000000002,0,140
-0.4199999999999997,-0.000123921,0.0002950500000000002,0,141
-0.4399999999999997,-0.000124351,0.00028261590909090927,0,142
-0.45999999999999974,-0.000124727,0.00027114565217391316,0,143
-0.47999999999999976,-0.000125057,0.0002605354166666668,0,144
-0.4999999999999998,-0.000125431,0.00025086200000000013,0,145
-0.5199999999999998,-0.000125774,0.000241873076923077,0,146
-0.5399999999999998,-0.000126077,0.000233475925925926,0,147
-0.5599999999999998,-0.000126341,0.00022560892857142865,0,148
-0.5799999999999998,-0.000126619,0.0002183086206896552,0,149
-0.5999999999999999,-0.000126833,0.00021138833333333336,0,150
-0.6199999999999999,-0.000126967,0.00020478548387096776,0,151
-0.6399999999999999,-0.000127156,0.00019868125,0,152
-0.6599999999999999,-0.000127294,0.000192869696969697,0,153
-0.6799999999999999,-0.000127407,0.00018736323529411767,0,154
-0.7,-0.000127418,0.00018202571428571428,0,155
-0.72,-0.000127428,0.00017698333333333332,0,156
-0.74,-0.000127373,0.00017212567567567567,0,157
-0.76,-0.000127292,0.0001674894736842105,0,158
-0.78,-0.000127139,0.00016299871794871792,0,159
-0.8,-0.000126903,0.00015862874999999997,0,160
-0.8,-0.000126395,0.00015799375,1,0
-0.78,-0.000125547,0.0001609576923076923,1,1
-0.76,-0.000124882,0.00016431842105263156,1,2
-0.74,-0.000124279,0.00016794459459459462,1,3
-0.72,-0.000123761,0.00017189027777777779,1,4
-0.7,-0.000123268,0.00017609714285714287,1,5
-0.6799999999999999,-0.000122801,0.00018058970588235294,1,6
-0.6599999999999999,-0.000122383,0.0001854287878787879,1,7
-0.6399999999999999,-0.00012194,0.00019053125000000003,1,8
-0.6199999999999999,-0.00012153,0.0001960161290322581,1,9
-0.5999999999999999,-0.00012113,0.00020188333333333338,1,10
-0.5799999999999998,-0.000120785,0.00020825000000000005,1,11
-0.5599999999999998,-0.000120397,0.00021499464285714293,1,12
-0.5399999999999998,-0.000120018,0.00022225555555555564,1,13
-0.5199999999999998,-0.000119607,0.00023001346153846163,1,14
-0.4999999999999998,-0.00011921,0.00023842000000000012,1,15
-0.47999999999999976,-0.000118743,0.0002473812500000001,1,16
-0.45999999999999974,-0.000118337,0.0002572543478260871,1,17
-0.4399999999999997,-0.000117866,0.0002678772727272729,1,18
-0.4199999999999997,-0.000117414,0.00027955714285714305,1,19
-0.3999999999999997,-0.000116933,0.00029233250000000024,1,20
-0.37999999999999967,-0.000116421,0.0003063710526315792,1,21
-0.35999999999999965,-0.000115874,0.0003218722222222225,1,22
-0.33999999999999964,-0.000115335,0.0003392205882352945,1,23
-0.3199999999999996,-0.000114743,0.0003585718750000004,1,24
-0.2999999999999996,-0.000114143,0.00038047666666666716,1,25
-0.2799999999999996,-0.000113484,0.0004053000000000006,1,26
-0.25999999999999956,-0.000112772,0.00043373846153846226,1,27
-0.23999999999999955,-0.000112072,0.00046696666666666754,1,28
-0.21999999999999953,-0.000111281,0.0005058227272727283,1,29
-0.1999999999999995,-0.00011048,0.0005524000000000014,1,30
-0.1799999999999995,-0.000109664,0.0006092444444444462,1,31
-0.15999999999999948,-0.000108762,0.0006797625000000022,1,32
-0.13999999999999946,-0.000107825,0.0007701785714285744,1,33
-0.11999999999999944,-0.000106843,0.0008903583333333374,1,34
-0.09999999999999942,-0.000105797,0.0010579700000000062,1,35
-0.0799999999999994,-0.000104714,0.0013089250000000098,1,36
-0.05999999999999939,-0.000103518,0.0017253000000000175,1,37
-0.03999999999999937,-0.000102264,0.0025566000000000404,1,38
-0.01999999999999935,-0.00010095,0.005047500000000164,1,39
6.661338147750939e-16,-9.95566e-05,0.0,1,40
0.020000000000000684,-9.80795e-05,-0.004903974999999832,1,41
0.0400000000000007,-9.64718e-05,-0.0024117949999999575,1,42
0.06000000000000072,-9.47865e-05,-0.0015797749999999812,1,43
0.08000000000000074,-9.29903e-05,-0.0011623787499999893,1,44
0.10000000000000075,-9.10629e-05,-0.0009106289999999931,1,45
0.12000000000000077,-8.90409e-05,-0.0007420074999999952,1,46
0.1400000000000008,-8.69126e-05,-0.0006208042857142822,1,47
0.1600000000000008,-8.46476e-05,-0.0005290474999999974,1,48
0.18000000000000083,-8.22734e-05,-0.00045707444444444237,1,49
0.20000000000000084,-7.9786e-05,-0.0003989299999999983,1,50
0.22000000000000086,-7.72053e-05,-0.0003509331818181804,1,51
0.24000000000000088,-7.44854e-05,-0.0003103558333333322,1,52
0.2600000000000009,-7.16732e-05,-0.0002756661538461529,1,53
0.2800000000000009,-6.87695e-05,-0.00024560535714285634,1,54
0.30000000000000093,-6.57717e-05,-0.00021923899999999933,1,55
0.32000000000000095,-6.26901e-05,-0.00019590656249999944,1,56
0.34000000000000097,-5.95599e-05,-0.00017517617647058774,1,57
0.360000000000001,-5.63873e-05,-0.00015663138888888847,1,58
0.380000000000001,-5.31932e-05,-0.00013998210526315751,1,59
0.400000000000001,-4.99921e-05,-0.00012498024999999966,1,60
0.42000000000000104,-4.68109e-05,-0.00011145452380952354,1,61
0.44000000000000106,-4.36731e-05,-9.925704545454521e-05,1,62
0.4600000000000011,-4.05919e-05,-8.8243260869565e-05,1,63
0.4800000000000011,-3.75924e-05,-7.831749999999983e-05,1,64
0.5000000000000011,-3.46832e-05,-6.936639999999985e-05,1,65
0.5200000000000011,-3.18881e-05,-6.132326923076909e-05,1,66
0.5400000000000011,-2.92117e-05,-5.4095740740740626e-05,1,67
0.5600000000000012,-2.66695e-05,-4.762410714285704e-05,1,68
0.5800000000000012,-2.42779e-05,-4.1858448275861985e-05,1,69
0.6000000000000012,-2.2037e-05,-3.672833333333326e-05,1,70
0.6200000000000012,-1.99611e-05,-3.21953225806451e-05,1,71
0.6400000000000012,-1.80528e-05,-2.8207499999999946e-05,1,72
0.6600000000000013,-1.63105e-05,-2.471287878787874e-05,1,73
0.6800000000000013,-1.47358e-05,-2.167029411764702e-05,1,74
0.7000000000000013,-1.33166e-05,-1.9023714285714253e-05,1,75
0.7200000000000013,-1.20428e-05,-1.672611111111108e-05,1,76
0.7400000000000013,-1.09026e-05,-1.4733243243243216e-05,1,77
0.7600000000000013,-9.90599e-06,-1.303419736842103e-05,1,78
0.7800000000000014,-8.97071e-06,-1.1500910256410235e-05,1,79
